date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,psTTM,pcfNcfTTM,pbMRQ,isST
2020-06-23,sh.600000,9.4884069800,9.5425748600,9.4522950600,9.4613230400,9.5245189000,19602212,206109220.0000,2,0.069700,1,-0.663500,5.142859,1.569214,16.368318,0.599920,0
2020-06-24,sh.600000,9.5154909200,9.5786867800,9.4793790000,9.5696588000,9.4613230400,22873884,241489165.0000,2,0.081400,1,1.145000,5.201746,1.587182,16.555742,0.606790,0
2020-06-29,sh.600000,9.5967427400,9.6870225400,9.4703510200,9.5425748600,9.5696588000,27875619,295223647.0000,2,0.099200,1,-0.283000,5.187024,1.582690,16.508886,0.605072,0
2020-06-30,sh.600000,9.5606308200,9.6057707200,9.5154909200,9.5516028400,9.5425748600,22886764,242601910.0000,2,0.081400,1,0.094600,5.191932,1.584187,16.524504,0.605645,0
2020-07-01,sh.600000,9.5606308200,9.7141064800,9.5245189000,9.6960505200,9.5516028400,36690710,390832225.0000,2,0.130600,1,1.512300,5.270449,1.608144,16.774402,0.614804,0
2020-07-02,sh.600000,9.6870225400,9.9759179000,9.6599386000,9.9759179000,9.6960505200,60951268,663308323.0000,2,0.216900,1,2.886400,5.422575,1.654562,17.258580,0.632550,0
2020-07-03,sh.600000,10.0030018400,10.1655054800,9.9488339600,10.1023096200,9.9759179000,82238477,916157920.0000,2,0.292600,1,1.267000,5.491283,1.675527,17.477259,0.640565,0
2020-07-06,sh.600000,10.2016174000,11.1134433800,10.1925894200,11.0141356000,10.1023096200,149558001,1776417981.0000,2,0.532200,1,9.025900,5.986922,1.826758,19.054742,0.698381,0
2020-07-07,sh.600000,11.2398351000,11.4565066200,10.9238558000,10.9328837800,11.0141356000,131469759,1621839646.0000,2,0.467800,1,-0.737700,5.942756,1.813282,18.914174,0.693229,0
2020-07-08,sh.600000,10.9870516600,11.2308071200,10.8606599400,10.9599677200,10.9328837800,104879230,1282339816.0000,2,0.373200,1,0.247700,5.957478,1.817774,18.961030,0.694947,0
